hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
1, 0.00000, 219.393, 1.93668E-008, 219.393, -120, 219.393, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2, 0.00000, 219.393, 1.93668E-008, 219.393, -120, 219.393, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3, 0.00000, 219.393, 1.93668E-008, 219.393, -120, 219.393, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4, 0.00000, 219.393, 1.93668E-008, 219.393, -120, 219.393, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
5, 0.00000, 219.393, 1.93668E-008, 219.393, -120, 219.393, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6, 0.00000, 219.393, 1.93668E-008, 219.393, -120, 219.393, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, 0.00000, 219.376, -0.00419997, 219.376, -120.004, 219.376, 119.996, 0, 0, 321.768, -31.7925, 321.768, -151.793, 321.768, 88.2075, 6.27937E-008, -151.793
8, 0.00000, 219.393, 5.57685E-005, 219.393, -120, 219.393, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9, 0.00000, 219.393, 8.02443E-005, 219.393, -120, 219.393, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10, 0.00000, 219.393, 0.00013076, 219.393, -120, 219.393, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11, 0.00000, 219.377, -0.00402352, 219.377, -120.004, 219.377, 119.996, 0, 0, 321.767, -31.7924, 321.767, -151.792, 321.767, 88.2076, 6.27937E-008, -151.792
12, 0.00000, 219.377, -0.00400309, 219.377, -120.004, 219.377, 119.996, 0, 0, 321.767, -31.7923, 321.767, -151.792, 321.767, 88.2077, 6.27936E-008, -151.793
