hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
1, 0.00000, -2.49421E-013, -1.04445E-013, -3.00837E-013, 4.94855E-014, -8.6402E-014, -4.98842E-014
2, 0.00000, -2.49421E-013, -1.04445E-013, -3.00837E-013, 4.94855E-014, -8.6402E-014, -4.98842E-014
3, 0.00000, -2.49421E-013, -1.04445E-013, -3.00837E-013, 4.94855E-014, -8.6402E-014, -4.98842E-014
4, 0.00000, -2.49421E-013, -1.04445E-013, -3.00837E-013, 4.94855E-014, -8.6402E-014, -4.98842E-014
5, 0.00000, -2.49421E-013, -1.04445E-013, -3.00837E-013, 4.94855E-014, -8.6402E-014, -4.98842E-014
6, 0.00000, -2.49421E-013, -1.04445E-013, -3.00837E-013, 4.94855E-014, -8.6402E-014, -4.98842E-014
7, 0.00000, -0.334564, 4.26862E-005, -0.334564, 4.26862E-005, -0.334564, 4.26862E-005
8, 0.00000, -0.668592, 0.000170078, -0.668592, 0.000170078, -0.668592, 0.000170078
9, 0.00000, -0.962101, 0.000352563, -0.962101, 0.000352563, -0.962101, 0.000352563
10, 0.00000, -1.56782, 0.000936242, -1.56782, 0.000936242, -1.56782, 0.000936242
11, 0.00000, -2.45, 0.00228907, -2.45, 0.00228907, -2.45, 0.00228907
12, 0.00000, -2.69495, 0.00276671, -2.69495, 0.00276671, -2.69495, 0.00276671
13, 0.00000, -2.86024, 0.0031165, -2.86024, 0.0031165, -2.86024, 0.0031165
14, 0.00000, -2.86029, 0.00311283, -2.86029, 0.00311283, -2.86029, 0.00311283
15, 0.00000, -2.89729, 0.00319727, -2.89729, 0.00319727, -2.89729, 0.00319727
16, 0.00000, -2.81405, 0.0030162, -2.81405, 0.0030162, -2.81405, 0.0030162
17, 0.00000, -2.23833, 0.0019106, -2.23833, 0.0019106, -2.23833, 0.0019106
18, 0.00000, -1.30852, 0.000652266, -1.30852, 0.000652266, -1.30852, 0.000652266
19, 0.00000, -2.94967, 0.00331223, -2.94967, 0.00331223, -2.94967, 0.00331223
20, 0.00000, -2.94808, 0.00331088, -2.94808, 0.00331088, -2.94808, 0.00331088
21, 0.00000, -3.07657, 0.00360419, -3.07657, 0.00360419, -3.07657, 0.00360419
22, 0.00000, -3.26914, 0.00406959, -3.26914, 0.00406959, -3.26914, 0.00406959
23, 0.00000, -2.33812E-013, 3.431E-014, 5.542E-014, 2.73972E-014, 6.14621E-014, 9.30736E-014
24, 0.00000, 2.41627E-014, 1.55888E-014, -1.00436E-013, -1.49018E-013, -2.49421E-014, 4.3201E-014
25, 0.00000, 5.06637E-014, 2.02655E-014, 8.25308E-015, -1.37651E-014, 9.97684E-014, -1.72804E-013
26, 0.00000, 5.06637E-014, 2.02655E-014, 8.25308E-015, -1.37651E-014, 9.97684E-014, -1.72804E-013
27, 0.00000, 3.40268, 0.00441026, 3.40268, 0.00441026, 3.40268, 0.00441026
28, 0.00000, 3.40248, 0.0044095, 3.40248, 0.0044095, 3.40248, 0.0044095
29, 0.00000, 3.40248, 0.0044095, 3.40248, 0.0044095, 3.40248, 0.0044095
30, 0.00000, 3.40248, 0.0044095, 3.40248, 0.0044095, 3.40248, 0.0044095
31, 0.00000, -0.334504, 4.26174E-005, -0.334504, 4.26174E-005, -0.334504, 4.26174E-005
32, 0.00000, -0.668585, 0.000170387, -0.668585, 0.000170387, -0.668585, 0.000170387
33, 0.00000, -0.962093, 0.000352841, -0.962093, 0.000352841, -0.962093, 0.000352841
34, 0.00000, -1.5678, 0.000937367, -1.5678, 0.000937367, -1.5678, 0.000937367
35, 0.00000, -2.44995, 0.00229123, -2.44995, 0.00229123, -2.44995, 0.00229123
36, 0.00000, -2.69494, 0.00276758, -2.69494, 0.00276758, -2.69494, 0.00276758
37, 0.00000, -2.86023, 0.00311712, -2.86023, 0.00311712, -2.86023, 0.00311712
38, 0.00000, -2.86029, 0.00311358, -2.86029, 0.00311358, -2.86029, 0.00311358
39, 0.00000, -2.89729, 0.00319741, -2.89729, 0.00319741, -2.89729, 0.00319741
40, 0.00000, -2.81406, 0.00301589, -2.81406, 0.00301589, -2.81406, 0.00301589
41, 0.00000, -2.23836, 0.00190836, -2.23836, 0.00190836, -2.23836, 0.00190836
42, 0.00000, -1.30856, 0.000650893, -1.30856, 0.000650893, -1.30856, 0.000650893
43, 0.00000, -2.94969, 0.00331246, -2.94969, 0.00331246, -2.94969, 0.00331246
44, 0.00000, -2.94808, 0.00331088, -2.94808, 0.00331088, -2.94808, 0.00331088
45, 0.00000, -3.07657, 0.00360419, -3.07657, 0.00360419, -3.07657, 0.00360419
46, 0.00000, -3.26914, 0.00406959, -3.26914, 0.00406959, -3.26914, 0.00406959
47, 0.00000, -2.33812E-013, 3.431E-014, 5.542E-014, 2.73972E-014, 6.14621E-014, 9.30736E-014
48, 0.00000, 2.41627E-014, 1.55888E-014, -1.00436E-013, -1.49018E-013, -2.49421E-014, 4.3201E-014
