hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
1, 0.00000, 219.393, 1.93668E-008, 219.393, -120, 219.393, 120, 1.23252E-012, 157.279, 1.38965E-012, 69.3411, 4.54747E-013, -90
2, 0.00000, 219.393, 1.93668E-008, 219.393, -120, 219.393, 120, 1.23252E-012, 157.279, 1.38965E-012, 69.3411, 4.54747E-013, -90
3, 0.00000, 219.393, 1.93668E-008, 219.393, -120, 219.393, 120, 1.23252E-012, 157.279, 1.38965E-012, 69.3411, 4.54747E-013, -90
4, 0.00000, 219.393, 1.93668E-008, 219.393, -120, 219.393, 120, 1.23252E-012, 157.279, 1.38965E-012, 69.3411, 4.54747E-013, -90
5, 0.00000, 219.393, 1.93668E-008, 219.393, -120, 219.393, 120, 1.23252E-012, 157.279, 1.38965E-012, 69.3411, 4.54747E-013, -90
6, 0.00000, 219.393, 1.93668E-008, 219.393, -120, 219.393, 120, 1.23252E-012, 157.279, 1.38965E-012, 69.3411, 4.54747E-013, -90
7, 0.00000, 219.376, -0.00419997, 219.376, -120.004, 219.376, 119.996, 1.52507, -179.997, 1.52507, 60.0031, 1.52507, -59.9969
8, 0.00000, 219.393, 5.57685E-005, 219.393, -120, 219.393, 120, 3.04746, -179.985, 3.04746, 60.0146, 3.04746, -59.9854
9, 0.00000, 219.393, 8.02443E-005, 219.393, -120, 219.393, 120, 4.38528, -179.979, 4.38528, 60.0211, 4.38528, -59.9789
10, 0.00000, 219.393, 0.00013076, 219.393, -120, 219.393, 120, 7.14617, -179.966, 7.14617, 60.0343, 7.14617, -59.9657
11, 0.00000, 219.377, -0.00402352, 219.377, -120.004, 219.377, 119.996, 11.168, -179.95, 11.168, 60.0495, 11.168, -59.9505
12, 0.00000, 219.377, -0.00400309, 219.377, -120.004, 219.377, 119.996, 12.2846, -179.945, 12.2846, 60.0548, 12.2846, -59.9452
13, 0.00000, 219.377, -0.0039893, 219.377, -120.004, 219.377, 119.996, 13.038, -179.942, 13.038, 60.0584, 13.038, -59.9416
14, 0.00000, 219.393, 0.000238568, 219.393, -120, 219.393, 120, 13.0373, -179.937, 13.0373, 60.0626, 13.0373, -59.9374
15, 0.00000, 219.393, 0.000241655, 219.393, -120, 219.393, 120, 13.2059, -179.937, 13.2059, 60.0635, 13.2059, -59.9365
16, 0.00000, 219.393, 0.000234711, 219.393, -120, 219.393, 120, 12.8265, -179.938, 12.8265, 60.0616, 12.8265, -59.9384
17, 0.00000, 219.377, -0.00404118, 219.377, -120.004, 219.377, 119.996, 10.2031, -179.955, 10.2031, 60.0449, 10.2031, -59.9551
18, 0.00000, 219.377, -0.00411874, 219.377, -120.004, 219.377, 119.996, 5.96474, -179.976, 5.96474, 60.0244, 5.96474, -59.9756
19, 0.00000, 219.377, -0.00398184, 219.377, -120.004, 219.377, 119.996, 13.4457, -179.94, 13.4457, 60.0604, 13.4457, -59.9396
20, 0.00000, 219.377, -0.00398197, 219.377, -120.004, 219.377, 119.996, 13.4385, -179.94, 13.4385, 60.0604, 13.4385, -59.9396
21, 0.00000, 219.377, -0.00397125, 219.377, -120.004, 219.377, 119.996, 14.0241, -179.937, 14.0241, 60.0632, 14.0241, -59.9368
22, 0.00000, 219.377, -0.00395518, 219.377, -120.004, 219.377, 119.996, 14.9019, -179.933, 14.9019, 60.0674, 14.9019, -59.9326
23, 0.00000, 219.376, -0.00422787, 219.376, -120.004, 219.376, 119.996, 1.07722E-012, -171.656, 2.81809E-013, -146.31, 5.08423E-013, 63.4349
24, 0.00000, 219.393, 1.93166E-008, 219.393, -120, 219.393, 120, 1.31066E-013, -32.8285, 8.19099E-013, 3.97938, 2.27374E-013, 0
25, 0.00000, 219.393, 1.93668E-008, 219.393, -120, 219.393, 120, 2.48715E-013, -21.8014, 7.31549E-014, -60.9454, 9.09495E-013, 180
26, 0.00000, 219.393, 1.93668E-008, 219.393, -120, 219.393, 120, 2.48715E-013, -21.8014, 7.31549E-014, -60.9454, 9.09495E-013, 180
27, 0.00000, 219.393, -0.000283597, 219.393, -120, 219.393, 120, 15.5096, -0.0745453, 15.5096, -120.075, 15.5096, 119.925
28, 0.00000, 219.393, -0.00028358, 219.393, -120, 219.393, 120, 15.5086, -0.0745369, 15.5086, -120.075, 15.5086, 119.925
29, 0.00000, 219.393, -0.00028358, 219.393, -120, 219.393, 120, 15.5086, -0.0745368, 15.5086, -120.075, 15.5086, 119.925
30, 0.00000, 219.393, -0.00028358, 219.393, -120, 219.393, 120, 15.5086, -0.0745368, 15.5086, -120.075, 15.5086, 119.925
31, 0.00000, 219.376, -0.00419997, 219.376, -120.004, 219.376, 119.996, 1.5248, -179.997, 1.5248, 60.0031, 1.5248, -59.9969
32, 0.00000, 219.393, 5.57679E-005, 219.393, -120, 219.393, 120, 3.04743, -179.985, 3.04743, 60.0147, 3.04743, -59.9853
33, 0.00000, 219.393, 8.02437E-005, 219.393, -120, 219.393, 120, 4.38524, -179.979, 4.38524, 60.0211, 4.38524, -59.9789
34, 0.00000, 219.393, 0.000130758, 219.393, -120, 219.393, 120, 7.14605, -179.966, 7.14605, 60.0344, 7.14605, -59.9656
35, 0.00000, 219.377, -0.00402353, 219.377, -120.004, 219.377, 119.996, 11.1678, -179.95, 11.1678, 60.0496, 11.1678, -59.9504
36, 0.00000, 219.377, -0.00400309, 219.377, -120.004, 219.377, 119.996, 12.2845, -179.945, 12.2845, 60.0548, 12.2845, -59.9452
