hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
1, 0.00000, 219.393, 1.93668E-008, 219.393, -120, 219.393, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2, 0.00000, 219.393, 1.93668E-008, 219.393, -120, 219.393, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3, 0.00000, 219.393, 1.93668E-008, 219.393, -120, 219.393, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4, 0.00000, 219.393, 1.93668E-008, 219.393, -120, 219.393, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
5, 0.00000, 219.393, 1.93668E-008, 219.393, -120, 219.393, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6, 0.00000, 219.393, 1.93668E-008, 219.393, -120, 219.393, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, 0.00000, 219.377, -0.00408859, 219.377, -120.004, 219.377, 119.996, 0, 0, 321.767, -31.7924, 321.767, -151.792, 321.767, 88.2076, 6.27936E-008, -151.792
8, 0.00000, 219.393, 0.000277896, 219.393, -120, 219.393, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9, 0.00000, 219.393, 0.000399357, 219.393, -120, 219.393, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10, 0.00000, 219.394, 0.000649082, 219.394, -119.999, 219.394, 120.001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11, 0.00000, 219.377, -0.00321726, 219.377, -120.003, 219.377, 119.997, 0, 0, 321.766, -31.7915, 321.766, -151.792, 321.766, 88.2085, 6.27933E-008, -151.792
12, 0.00000, 219.377, -0.0031175, 219.377, -120.003, 219.377, 119.997, 0, 0, 321.766, -31.7914, 321.766, -151.791, 321.766, 88.2086, 6.27934E-008, -151.792
