hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
1, 0.00000, -3.47631E-013, -1.87066E-014, 9.21339E-015, -1.52196E-014, 2.49421E-014, -4.3201E-014
2, 0.00000, -3.47631E-013, -1.87066E-014, 9.21339E-015, -1.52196E-014, 2.49421E-014, -4.3201E-014
3, 0.00000, -3.47631E-013, -1.87066E-014, 9.21339E-015, -1.52196E-014, 2.49421E-014, -4.3201E-014
4, 0.00000, -3.47631E-013, -1.87066E-014, 9.21339E-015, -1.52196E-014, 2.49421E-014, -4.3201E-014
5, 0.00000, -3.47631E-013, -1.87066E-014, 9.21339E-015, -1.52196E-014, 2.49421E-014, -4.3201E-014
6, 0.00000, -3.47631E-013, -1.87066E-014, 9.21339E-015, -1.52196E-014, 2.49421E-014, -4.3201E-014
7, 0.00000, -1.67015, 0.00038295, -1.67015, 0.00038295, -1.67015, 0.00038295
8, 0.00000, -3.33237, 0.00152102, -3.33237, 0.00152102, -3.33237, 0.00152102
9, 0.00000, -4.78873, 0.0031444, -4.78873, 0.0031444, -4.78873, 0.0031444
10, 0.00000, -7.78256, 0.00830412, -7.78256, 0.00830412, -7.78256, 0.00830412
11, 0.00000, -12.1147, 0.020123, -12.1147, 0.020123, -12.1147, 0.020123
12, 0.00000, -13.31, 0.0242952, -13.31, 0.0242952, -13.31, 0.0242952
13, 0.00000, -14.1165, 0.0273285, -14.1165, 0.0273285, -14.1165, 0.0273285
14, 0.00000, -14.1172, 0.0272986, -14.1172, 0.0272986, -14.1172, 0.0272986
15, 0.00000, -14.2975, 0.0280294, -14.2975, 0.0280294, -14.2975, 0.0280294
16, 0.00000, -13.892, 0.0264623, -13.892, 0.0264623, -13.892, 0.0264623
17, 0.00000, -11.0768, 0.0168293, -11.0768, 0.0168293, -11.0768, 0.0168293
18, 0.00000, -6.50253, 0.00579945, -6.50253, 0.00579945, -6.50253, 0.00579945
19, 0.00000, -14.5545, 0.0290565, -14.5545, 0.0290565, -14.5545, 0.0290565
20, 0.00000, -14.5451, 0.0290136, -14.5451, 0.0290136, -14.5451, 0.0290136
21, 0.00000, -15.1719, 0.0315698, -15.1719, 0.0315698, -15.1719, 0.0315698
22, 0.00000, -16.109, 0.0355903, -16.109, 0.0355903, -16.109, 0.0355903
23, 0.00000, -3.70206E-013, 9.3799E-015, -1.3932E-013, -1.10348E-013, -1.72798E-013, -9.97481E-014
24, 0.00000, -7.71646E-014, 2.49421E-014, -3.26785E-013, -1.32638E-013, -3.0909E-013, -6.32507E-014
25, 0.00000, -1.51991E-013, -1.55888E-015, -4.73822E-013, 1.52058E-013, -1.72804E-013, -9.97684E-014
26, 0.00000, -1.51991E-013, -1.55888E-015, -4.73822E-013, 1.52058E-013, -1.72804E-013, -9.97684E-014
27, 0.00000, 17.3115, 0.0410944, 17.3115, 0.0410944, 17.3115, 0.0410944
28, 0.00000, 17.3111, 0.0410916, 17.3111, 0.0410916, 17.3111, 0.0410916
29, 0.00000, 17.3111, 0.0410916, 17.3111, 0.0410916, 17.3111, 0.0410916
30, 0.00000, 17.3111, 0.0410916, 17.3111, 0.0410916, 17.3111, 0.0410916
31, 0.00000, -1.67018, 0.000382551, -1.67018, 0.000382551, -1.67018, 0.000382551
32, 0.00000, -3.33226, 0.00152497, -3.33226, 0.00152497, -3.33226, 0.00152497
33, 0.00000, -4.7886, 0.00314882, -4.7886, 0.00314882, -4.7886, 0.00314882
34, 0.00000, -7.78257, 0.00830423, -7.78257, 0.00830423, -7.78257, 0.00830423
35, 0.00000, -12.1147, 0.0201233, -12.1147, 0.0201233, -12.1147, 0.0201233
36, 0.00000, -13.3098, 0.0243086, -13.3098, 0.0243086, -13.3098, 0.0243086
37, 0.00000, -14.1163, 0.0273382, -14.1163, 0.0273382, -14.1163, 0.0273382
38, 0.00000, -14.1172, 0.0273053, -14.1172, 0.0273053, -14.1172, 0.0273053
39, 0.00000, -14.2974, 0.0280316, -14.2974, 0.0280316, -14.2974, 0.0280316
40, 0.00000, -13.8921, 0.0264575, -13.8921, 0.0264575, -13.8921, 0.0264575
41, 0.00000, -11.0768, 0.0168289, -11.0768, 0.0168289, -11.0768, 0.0168289
42, 0.00000, -6.50252, 0.00579935, -6.50252, 0.00579935, -6.50252, 0.00579935
43, 0.00000, -14.5545, 0.0290558, -14.5545, 0.0290558, -14.5545, 0.0290558
44, 0.00000, -14.5451, 0.0290136, -14.5451, 0.0290136, -14.5451, 0.0290136
45, 0.00000, -15.1719, 0.0315698, -15.1719, 0.0315698, -15.1719, 0.0315698
46, 0.00000, -16.109, 0.0355903, -16.109, 0.0355903, -16.109, 0.0355903
47, 0.00000, -3.70206E-013, 9.3799E-015, -1.3932E-013, -1.10348E-013, -1.72798E-013, -9.97481E-014
48, 0.00000, -7.71646E-014, 2.49421E-014, -3.26785E-013, -1.32638E-013, -3.0909E-013, -6.32507E-014
