hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
1, 0.00000, 219.393, 1.93668E-008, 219.393, -120, 219.393, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2, 0.00000, 219.393, 1.93668E-008, 219.393, -120, 219.393, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3, 0.00000, 219.393, 1.93668E-008, 219.393, -120, 219.393, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4, 0.00000, 219.393, 1.93668E-008, 219.393, -120, 219.393, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
5, 0.00000, 219.393, 1.93668E-008, 219.393, -120, 219.393, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6, 0.00000, 219.393, 1.93668E-008, 219.393, -120, 219.393, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, 0.00000, 219.36, -0.00818338, 219.36, -120.008, 219.36, 119.992, 0, 0, 321.792, -31.7965, 321.792, -151.797, 321.792, 88.2035, 6.27983E-008, -151.797
8, 0.00000, 219.394, 0.000544706, 219.394, -119.999, 219.394, 120.001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9, 0.00000, 219.394, 0.000782821, 219.394, -119.999, 219.394, 120.001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10, 0.00000, 219.394, 0.00127244, 219.394, -119.999, 219.394, 120.001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11, 0.00000, 219.362, -0.00647482, 219.362, -120.006, 219.362, 119.994, 0, 0, 321.789, -31.7948, 321.789, -151.795, 321.789, 88.2052, 6.27979E-008, -151.795
12, 0.00000, 219.362, -0.00627915, 219.362, -120.006, 219.362, 119.994, 0, 0, 321.789, -31.7946, 321.789, -151.795, 321.789, 88.2054, 6.27978E-008, -151.795
