hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
1, 0.00000, -1.46535E-013, 4.67665E-015, 9.60311E-015, -1.45446E-014, -1.11344E-013, -6.68322E-015
2, 0.00000, -1.46535E-013, 4.67665E-015, 9.60311E-015, -1.45446E-014, -1.11344E-013, -6.68322E-015
3, 0.00000, -1.46535E-013, 4.67665E-015, 9.60311E-015, -1.45446E-014, -1.11344E-013, -6.68322E-015
4, 0.00000, -1.46535E-013, 4.67665E-015, 9.60311E-015, -1.45446E-014, -1.11344E-013, -6.68322E-015
5, 0.00000, -1.46535E-013, 4.67665E-015, 9.60311E-015, -1.45446E-014, -1.11344E-013, -6.68322E-015
6, 0.00000, -1.46535E-013, 4.67665E-015, 9.60311E-015, -1.45446E-014, -1.11344E-013, -6.68322E-015
7, 0.00000, -1.67015, 0.000383421, -1.67015, 0.000383421, -1.67015, 0.000383421
8, 0.00000, -3.33237, 0.00151938, -3.33237, 0.00151938, -3.33237, 0.00151938
9, 0.00000, -4.78873, 0.00314438, -4.78873, 0.00314438, -4.78873, 0.00314438
10, 0.00000, -7.78256, 0.00830407, -7.78256, 0.00830407, -7.78256, 0.00830407
11, 0.00000, -12.1146, 0.0201263, -12.1146, 0.0201263, -12.1146, 0.0201263
12, 0.00000, -13.31, 0.0242984, -13.31, 0.0242984, -13.31, 0.0242984
13, 0.00000, -14.1164, 0.0273321, -14.1164, 0.0273321, -14.1164, 0.0273321
14, 0.00000, -14.1172, 0.0272696, -14.1172, 0.0272696, -14.1172, 0.0272696
15, 0.00000, -14.2975, 0.0280291, -14.2975, 0.0280291, -14.2975, 0.0280291
16, 0.00000, -13.892, 0.026462, -13.892, 0.026462, -13.892, 0.026462
17, 0.00000, -11.0768, 0.0168321, -11.0768, 0.0168321, -11.0768, 0.0168321
18, 0.00000, -6.50252, 0.00580029, -6.50252, 0.00580029, -6.50252, 0.00580029
19, 0.00000, -14.5545, 0.0290604, -14.5545, 0.0290604, -14.5545, 0.0290604
20, 0.00000, -14.545, 0.0290174, -14.545, 0.0290174, -14.545, 0.0290174
21, 0.00000, -15.1718, 0.031574, -15.1718, 0.031574, -15.1718, 0.031574
22, 0.00000, -16.109, 0.035595, -16.109, 0.035595, -16.109, 0.035595
23, 0.00000, -2.40036E-013, -3.42548E-014, 3.65648E-014, -3.64172E-014, -1.3626E-013, 3.65323E-014
24, 0.00000, -3.52307E-013, -6.23553E-015, -1.28937E-013, -3.62605E-014, -1.72804E-013, -9.97684E-014
25, 0.00000, -1.46535E-013, -3.11776E-015, 1.09531E-014, -1.5324E-014, -1.11344E-013, -6.68322E-015
26, 0.00000, -1.46535E-013, -3.11776E-015, 1.09531E-014, -1.5324E-014, -1.11344E-013, -6.68322E-015
27, 0.00000, 17.3115, 0.0410949, 17.3115, 0.0410949, 17.3115, 0.0410949
28, 0.00000, 17.3111, 0.0410922, 17.3111, 0.0410922, 17.3111, 0.0410922
29, 0.00000, 17.3111, 0.0410922, 17.3111, 0.0410922, 17.3111, 0.0410922
30, 0.00000, 17.3111, 0.0410922, 17.3111, 0.0410922, 17.3111, 0.0410922
31, 0.00000, -1.67017, 0.000382609, -1.67017, 0.000382609, -1.67017, 0.000382609
32, 0.00000, -3.33226, 0.00152459, -3.33226, 0.00152459, -3.33226, 0.00152459
33, 0.00000, -4.7886, 0.00314885, -4.7886, 0.00314885, -4.7886, 0.00314885
34, 0.00000, -7.78257, 0.00830418, -7.78257, 0.00830418, -7.78257, 0.00830418
35, 0.00000, -12.1147, 0.0201264, -12.1147, 0.0201264, -12.1147, 0.0201264
36, 0.00000, -13.3097, 0.024312, -13.3097, 0.024312, -13.3097, 0.024312
37, 0.00000, -14.1163, 0.0273419, -14.1163, 0.0273419, -14.1163, 0.0273419
38, 0.00000, -14.1172, 0.0272828, -14.1172, 0.0272828, -14.1172, 0.0272828
39, 0.00000, -14.2974, 0.0280313, -14.2974, 0.0280313, -14.2974, 0.0280313
40, 0.00000, -13.8921, 0.0264572, -13.8921, 0.0264572, -13.8921, 0.0264572
41, 0.00000, -11.0768, 0.0168315, -11.0768, 0.0168315, -11.0768, 0.0168315
42, 0.00000, -6.50251, 0.00580019, -6.50251, 0.00580019, -6.50251, 0.00580019
43, 0.00000, -14.5544, 0.0290598, -14.5544, 0.0290598, -14.5544, 0.0290598
44, 0.00000, -14.545, 0.0290174, -14.545, 0.0290174, -14.545, 0.0290174
45, 0.00000, -15.1718, 0.031574, -15.1718, 0.031574, -15.1718, 0.031574
46, 0.00000, -16.109, 0.035595, -16.109, 0.035595, -16.109, 0.035595
47, 0.00000, -2.40036E-013, -3.42548E-014, 3.65648E-014, -3.64172E-014, -1.3626E-013, 3.65323E-014
48, 0.00000, -3.52307E-013, -6.23553E-015, -1.28937E-013, -3.62605E-014, -1.72804E-013, -9.97684E-014
