hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
1, 0.00000, 219.393, 1.93668E-008, 219.393, -120, 219.393, 120, 6.6825E-013, -178.172, 7.94411E-014, -63.4349, 5.08423E-013, -63.4349
2, 0.00000, 219.393, 1.93668E-008, 219.393, -120, 219.393, 120, 6.6825E-013, -178.172, 7.94411E-014, -63.4349, 5.08423E-013, -63.4349
3, 0.00000, 219.393, 1.93668E-008, 219.393, -120, 219.393, 120, 6.6825E-013, -178.172, 7.94411E-014, -63.4349, 5.08423E-013, -63.4349
4, 0.00000, 219.393, 1.93668E-008, 219.393, -120, 219.393, 120, 6.6825E-013, -178.172, 7.94411E-014, -63.4349, 5.08423E-013, -63.4349
5, 0.00000, 219.393, 1.93668E-008, 219.393, -120, 219.393, 120, 6.6825E-013, -178.172, 7.94411E-014, -63.4349, 5.08423E-013, -63.4349
6, 0.00000, 219.393, 1.93668E-008, 219.393, -120, 219.393, 120, 6.6825E-013, -178.172, 7.94411E-014, -63.4349, 5.08423E-013, -63.4349
7, 0.00000, 219.36, -0.00818338, 219.36, -120.008, 219.36, 119.992, 7.61372, -179.995, 7.61372, 60.005, 7.61372, -59.995
8, 0.00000, 219.394, 0.000544706, 219.394, -119.999, 219.394, 120.001, 15.189, -179.973, 15.189, 60.0267, 15.189, -59.9733
9, 0.00000, 219.394, 0.000782821, 219.394, -119.999, 219.394, 120.001, 21.8271, -179.962, 21.8271, 60.0384, 21.8271, -59.9616
10, 0.00000, 219.394, 0.00127244, 219.394, -119.999, 219.394, 120.001, 35.4729, -179.938, 35.4729, 60.0624, 35.4729, -59.9376
11, 0.00000, 219.362, -0.00647482, 219.362, -120.006, 219.362, 119.994, 55.2269, -179.911, 55.2269, 60.0887, 55.2269, -59.9113
12, 0.00000, 219.362, -0.00627915, 219.362, -120.006, 219.362, 119.994, 60.6761, -179.902, 60.6761, 60.0983, 60.6761, -59.9017
13, 0.00000, 219.362, -0.00614712, 219.362, -120.006, 219.362, 119.994, 64.3524, -179.895, 64.3524, 60.1048, 64.3524, -59.8952
14, 0.00000, 219.395, 0.00230897, 219.395, -119.998, 219.395, 120.002, 64.3461, -179.887, 64.3461, 60.113, 64.3461, -59.887
15, 0.00000, 219.395, 0.00233849, 219.395, -119.998, 219.395, 120.002, 65.1678, -179.885, 65.1678, 60.1147, 65.1678, -59.8853
16, 0.00000, 219.395, 0.00227212, 219.395, -119.998, 219.395, 120.002, 63.3198, -179.889, 63.3198, 60.1114, 63.3198, -59.8886
17, 0.00000, 219.361, -0.00664469, 219.361, -120.007, 219.361, 119.993, 50.4957, -179.92, 50.4957, 60.0804, 50.4957, -59.9196
18, 0.00000, 219.361, -0.00739314, 219.361, -120.007, 219.361, 119.993, 29.643, -179.956, 29.643, 60.0437, 29.643, -59.9563
19, 0.00000, 219.362, -0.00605396, 219.362, -120.006, 219.362, 119.994, 66.3491, -179.892, 66.3491, 60.1083, 66.3491, -59.8917
20, 0.00000, 219.362, -0.00605289, 219.362, -120.006, 219.362, 119.994, 66.3061, -179.892, 66.3061, 60.1083, 66.3061, -59.8917
