hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
1, 0.00000, 219.393, -2.08284E-005, 219.393, -120, 219.393, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2, 0.00000, 219.393, -2.08284E-005, 219.393, -120, 219.393, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3, 0.00000, 219.393, -2.08284E-005, 219.393, -120, 219.393, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4, 0.00000, 219.393, -2.08284E-005, 219.393, -120, 219.393, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
5, 0.00000, 219.393, -2.08284E-005, 219.393, -120, 219.393, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6, 0.00000, 219.393, -2.08284E-005, 219.393, -120, 219.393, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, 0.00000, 219.375, -0.00560414, 219.375, -120.006, 219.375, 119.994, 0, 0, 405.192, -25.8475, 405.192, -145.848, 405.192, 94.1525, 1.5786E-007, -138.733
8, 0.00000, 219.394, 0.000539733, 219.394, -119.999, 219.394, 120.001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9, 0.00000, 219.394, 0.000787757, 219.394, -119.999, 219.394, 120.001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10, 0.00000, 219.394, 0.00130333, 219.394, -119.999, 219.394, 120.001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11, 0.00000, 219.376, -0.00379931, 219.376, -120.004, 219.376, 119.996, 0, 0, 405.189, -25.8457, 405.189, -145.846, 405.189, 94.1543, 3.39699E-005, 40.5618
12, 0.00000, 219.376, -0.00358657, 219.376, -120.004, 219.376, 119.996, 0, 0, 405.189, -25.8455, 405.189, -145.846, 405.189, 94.1545, 3.73861E-005, 37.3718
13, 0.00000, 219.376, -0.00344239, 219.376, -120.003, 219.376, 119.997, 0, 0, 405.189, -25.8454, 405.189, -145.845, 405.189, 94.1546, 4.38481E-005, 36.2425
14, 0.00000, 219.395, 0.0024205, 219.395, -119.998, 219.395, 120.002, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15, 0.00000, 219.395, 0.00245282, 219.395, -119.998, 219.395, 120.002, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16, 0.00000, 219.395, 0.00238016, 219.395, -119.998, 219.395, 120.002, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17, 0.00000, 219.376, -0.00398292, 219.376, -120.004, 219.376, 119.996, 0, 0, 405.19, -25.8459, 405.19, -145.846, 405.19, 94.1541, 2.81018E-005, 36.2476
18, 0.00000, 219.375, -0.00478088, 219.375, -120.005, 219.375, 119.995, 0, 0, 405.191, -25.8467, 405.191, -145.847, 405.191, 94.1533, 1.61123E-005, 38.3373
