hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
1, 0.00000, 0.25, -0.000162254, 0.250015, -0.000188326, 0.250031, -0.000161208
2, 0.00000, 0.25, -0.000162252, 0.250015, -0.000188325, 0.250031, -0.000161211
3, 0.00000, 0.25, -0.000162252, 0.250015, -0.000188325, 0.250031, -0.000161211
4, 0.00000, 0.25, -0.000162252, 0.250015, -0.000188325, 0.250031, -0.000161211
5, 0.00000, 0.25, -0.000162252, 0.250015, -0.000188325, 0.250031, -0.000161211
6, 0.00000, 0.25, -0.000162252, 0.250015, -0.000188325, 0.250031, -0.000161211
7, 0.00000, -3.10322, 0.00690496, -3.10398, 0.00643461, -3.10474, 0.0069123
8, 0.00000, -6.46507, 0.0306461, -6.46841, 0.0287134, -6.47179, 0.0307489
9, 0.00000, -9.43066, 0.0654053, -9.43769, 0.0613791, -9.44498, 0.0657684
10, 0.00000, -15.5845, 0.178896, -15.6036, 0.168178, -15.6236, 0.180445
11, 0.00000, -24.632, 0.446101, -24.6766, 0.420917, -24.7289, 0.453865
12, 0.00000, -27.1579, 0.542463, -27.2124, 0.51198, -27.2758, 0.552338
13, 0.00000, -28.8685, 0.612737, -28.9294, 0.578647, -29.0016, 0.624821
14, 0.00000, -28.8695, 0.612515, -28.9299, 0.578572, -29.0024, 0.625009
15, 0.00000, -29.2527, 0.628871, -29.3147, 0.59405, -29.3892, 0.641762
16, 0.00000, -28.391, 0.592297, -28.4492, 0.559458, -28.5195, 0.604359
17, 0.00000, -22.4499, 0.370755, -22.4873, 0.34954, -22.5305, 0.376625
18, 0.00000, -12.9455, 0.123107, -12.9578, 0.115884, -12.9723, 0.12468
19, 0.00000, -23.1839, 0.395269, -23.2233, 0.372923, -23.2685, 0.401672
20, 0.00000, -22.3394, 0.367187, -22.376, 0.346114, -22.4191, 0.372869
21, 0.00000, -23.3245, 0.400023, -23.3654, 0.377337, -23.4118, 0.406718
22, 0.00000, -24.8015, 0.452212, -24.8477, 0.426769, -24.9001, 0.460258
23, 0.00000, 0.249999, -0.000162413, 0.250014, -0.000188309, 0.25003, -0.000160932
24, 0.00000, 0.25, -0.000162246, 0.250015, -0.000188319, 0.250031, -0.000161203
25, 0.00000, 0.25, -0.000162252, 0.250015, -0.000188325, 0.250031, -0.000161211
26, 0.00000, 0.25, -0.000162252, 0.250015, -0.000188325, 0.250031, -0.000161211
27, 0.00000, 25.2075, 0.471389, 25.1505, 0.437866, 25.1036, 0.462991
28, 0.00000, 25.2074, 0.47137, 25.1511, 0.437907, 25.1031, 0.462959
29, 0.00000, 25.2074, 0.471371, 25.1511, 0.437907, 25.1031, 0.462959
30, 0.00000, 25.2074, 0.471371, 25.1511, 0.437907, 25.1031, 0.462959
31, 0.00000, -3.10306, 0.00688309, -3.10409, 0.00642691, -3.10469, 0.00691661
32, 0.00000, -6.46506, 0.0306556, -6.46844, 0.0287245, -6.4718, 0.0307657
33, 0.00000, -9.43064, 0.0654253, -9.43772, 0.061399, -9.44498, 0.0657928
34, 0.00000, -15.5844, 0.178988, -15.6036, 0.168264, -15.6236, 0.180537
35, 0.00000, -24.632, 0.446105, -24.6766, 0.420929, -24.7289, 0.453875
36, 0.00000, -27.1578, 0.542538, -27.2124, 0.512052, -27.2758, 0.552406
37, 0.00000, -28.8685, 0.612791, -28.9294, 0.578699, -29.0015, 0.62487
38, 0.00000, -28.8695, 0.61252, -28.9299, 0.578575, -29.0024, 0.625011
39, 0.00000, -29.2527, 0.628883, -29.3147, 0.594062, -29.3892, 0.641773
40, 0.00000, -28.391, 0.59227, -28.4492, 0.559432, -28.5195, 0.604335
41, 0.00000, -22.4522, 0.370242, -22.4884, 0.349356, -22.5325, 0.376952
42, 0.00000, -12.9456, 0.123001, -12.9577, 0.11578, -12.9723, 0.124568
43, 0.00000, -23.1838, 0.395272, -23.2233, 0.372907, -23.2685, 0.401683
44, 0.00000, -22.3394, 0.367187, -22.376, 0.346114, -22.4191, 0.372869
45, 0.00000, -23.3245, 0.400023, -23.3654, 0.377337, -23.4118, 0.406718
46, 0.00000, -24.8015, 0.452212, -24.8477, 0.426769, -24.9001, 0.460258
47, 0.00000, 0.249999, -0.000162413, 0.250014, -0.000188309, 0.25003, -0.000160932
48, 0.00000, 0.25, -0.000162246, 0.250015, -0.000188319, 0.250031, -0.000161203
