hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
1, 0.00000, 219.393, -2.08284E-005, 219.393, -120, 219.393, 120, 1.13951, 0.0371651, 1.13957, -119.957, 1.13965, 120.037
2, 0.00000, 219.393, -2.08284E-005, 219.393, -120, 219.393, 120, 1.13951, 0.0371647, 1.13957, -119.957, 1.13965, 120.037
3, 0.00000, 219.393, -2.08284E-005, 219.393, -120, 219.393, 120, 1.13951, 0.0371647, 1.13957, -119.957, 1.13965, 120.037
4, 0.00000, 219.393, -2.08284E-005, 219.393, -120, 219.393, 120, 1.13951, 0.0371647, 1.13957, -119.957, 1.13965, 120.037
5, 0.00000, 219.393, -2.08284E-005, 219.393, -120, 219.393, 120, 1.13951, 0.0371647, 1.13957, -119.957, 1.13965, 120.037
6, 0.00000, 219.393, -2.08284E-005, 219.393, -120, 219.393, 120, 1.13951, 0.0371647, 1.13957, -119.957, 1.13965, 120.037
7, 0.00000, 219.375, -0.00560414, 219.375, -120.006, 219.375, 119.994, 14.1458, -179.878, 14.1492, 60.1132, 14.1527, -59.878
8, 0.00000, 219.394, 0.000539733, 219.394, -119.999, 219.394, 120.001, 29.4682, -179.728, 29.4834, 60.2549, 29.4989, -59.7272
9, 0.00000, 219.394, 0.000787757, 219.394, -119.999, 219.394, 120.001, 42.9861, -179.602, 43.018, 60.3734, 43.0514, -59.6003
10, 0.00000, 219.394, 0.00130333, 219.394, -119.999, 219.394, 120.001, 71.0389, -179.341, 71.1253, 60.6188, 71.2173, -59.337
11, 0.00000, 219.376, -0.00379931, 219.376, -120.004, 219.376, 119.996, 112.3, -178.966, 112.502, 60.9734, 112.743, -58.9523
12, 0.00000, 219.376, -0.00358657, 219.376, -120.004, 219.376, 119.996, 123.821, -178.859, 124.066, 61.0743, 124.359, -58.8435
13, 0.00000, 219.376, -0.00344239, 219.376, -120.003, 219.376, 119.997, 131.623, -178.788, 131.897, 61.1424, 132.231, -58.7692
14, 0.00000, 219.395, 0.0024205, 219.395, -119.998, 219.395, 120.002, 131.616, -178.782, 131.888, 61.1481, 132.223, -58.763
15, 0.00000, 219.395, 0.00245282, 219.395, -119.998, 219.395, 120.002, 133.364, -178.766, 133.644, 61.1634, 133.987, -58.7466
16, 0.00000, 219.395, 0.00238016, 219.395, -119.998, 219.395, 120.002, 129.434, -178.802, 129.696, 61.129, 130.021, -58.7836
17, 0.00000, 219.376, -0.00398292, 219.376, -120.004, 219.376, 119.996, 102.349, -179.058, 102.518, 60.8865, 102.717, -59.0463
18, 0.00000, 219.375, -0.00478088, 219.375, -120.005, 219.375, 119.995, 59.0135, -179.46, 59.0694, 60.5076, 59.1355, -59.4541
19, 0.00000, 219.376, -0.00392118, 219.376, -120.004, 219.376, 119.996, 105.696, -179.027, 105.874, 60.9161, 106.082, -59.0149
20, 0.00000, 219.376, -0.00399221, 219.376, -120.004, 219.376, 119.996, 101.845, -179.062, 102.011, 60.8822, 102.209, -59.0511
21, 0.00000, 219.376, -0.00390934, 219.376, -120.004, 219.376, 119.996, 106.338, -179.021, 106.522, 60.9213, 106.736, -59.0086
22, 0.00000, 219.376, -0.00378504, 219.376, -120.004, 219.376, 119.996, 113.073, -178.959, 113.282, 60.9802, 113.524, -58.9448
23, 0.00000, 219.374, -0.00588391, 219.374, -120.006, 219.374, 119.994, 1.1396, 0.0313386, 1.13967, -119.963, 1.13974, 120.031
24, 0.00000, 219.393, -2.08285E-005, 219.393, -120, 219.393, 120, 1.13951, 0.0371632, 1.13957, -119.957, 1.13965, 120.037
25, 0.00000, 219.393, -2.08284E-005, 219.393, -120, 219.393, 120, 1.13951, 0.0371647, 1.13957, -119.957, 1.13965, 120.037
26, 0.00000, 219.393, -2.08284E-005, 219.393, -120, 219.393, 120, 1.13951, 0.0371647, 1.13957, -119.957, 1.13965, 120.037
27, 0.00000, 219.391, -0.00209141, 219.391, -120.002, 219.391, 119.998, 114.918, -1.07342, 114.655, -120.999, 114.443, 118.941
28, 0.00000, 219.391, -0.0020914, 219.391, -120.002, 219.391, 119.998, 114.917, -1.07338, 114.658, -121, 114.441, 118.941
29, 0.00000, 219.391, -0.0020914, 219.391, -120.002, 219.391, 119.998, 114.917, -1.07338, 114.658, -121, 114.441, 118.941
30, 0.00000, 219.391, -0.0020914, 219.391, -120.002, 219.391, 119.998, 114.917, -1.07338, 114.658, -121, 114.441, 118.941
31, 0.00000, 219.375, -0.00560415, 219.375, -120.006, 219.375, 119.994, 14.1451, -179.879, 14.1498, 60.113, 14.1525, -59.878
32, 0.00000, 219.394, 0.000539732, 219.394, -119.999, 219.394, 120.001, 29.4682, -179.728, 29.4835, 60.255, 29.4989, -59.7271
33, 0.00000, 219.394, 0.000787757, 219.394, -119.999, 219.394, 120.001, 42.986, -179.602, 43.0182, 60.3735, 43.0514, -59.6001
34, 0.00000, 219.394, 0.00130333, 219.394, -119.999, 219.394, 120.001, 71.0385, -179.341, 71.1256, 60.6191, 71.2172, -59.3366
35, 0.00000, 219.376, -0.00379931, 219.376, -120.004, 219.376, 119.996, 112.3, -178.966, 112.502, 60.9734, 112.743, -58.9523
36, 0.00000, 219.376, -0.00358657, 219.376, -120.004, 219.376, 119.996, 123.82, -178.859, 124.066, 61.0744, 124.359, -58.8433
37, 0.00000, 219.376, -0.00344239, 219.376, -120.003, 219.376, 119.997, 131.623, -178.787, 131.898, 61.1425, 132.231, -58.7691
38, 0.00000, 219.395, 0.0024205, 219.395, -119.998, 219.395, 120.002, 131.616, -178.782, 131.888, 61.1481, 132.223, -58.763
39, 0.00000, 219.395, 0.00245282, 219.395, -119.998, 219.395, 120.002, 133.364, -178.766, 133.644, 61.1634, 133.987, -58.7466
40, 0.00000, 219.395, 0.00238017, 219.395, -119.998, 219.395, 120.002, 129.434, -178.803, 129.696, 61.1289, 130.021, -58.7837
41, 0.00000, 219.376, -0.00398274, 219.376, -120.004, 219.376, 119.996, 102.36, -179.059, 102.523, 60.886, 102.726, -59.0455
42, 0.00000, 219.375, -0.00478087, 219.375, -120.005, 219.375, 119.995, 59.0139, -179.46, 59.0689, 60.5072, 59.1355, -59.4546
43, 0.00000, 219.376, -0.00392118, 219.376, -120.004, 219.376, 119.996, 105.696, -179.027, 105.874, 60.916, 106.083, -59.0149
44, 0.00000, 219.376, -0.00399221, 219.376, -120.004, 219.376, 119.996, 101.845, -179.062, 102.011, 60.8822, 102.209, -59.0511
45, 0.00000, 219.376, -0.00390934, 219.376, -120.004, 219.376, 119.996, 106.338, -179.021, 106.522, 60.9213, 106.736, -59.0086
46, 0.00000, 219.376, -0.00378504, 219.376, -120.004, 219.376, 119.996, 113.073, -178.959, 113.282, 60.9802, 113.524, -58.9448
47, 0.00000, 219.374, -0.00588391, 219.374, -120.006, 219.374, 119.994, 1.1396, 0.0313386, 1.13967, -119.963, 1.13974, 120.031
48, 0.00000, 219.393, -2.08285E-005, 219.393, -120, 219.393, 120, 1.13951, 0.0371632, 1.13957, -119.957, 1.13965, 120.037
